month	i_1YR	unempl	fxbis	gdp	corp_spread	mortg_spread	cred	equity	tb	CPI	us_baa	cm2	cloyne
1990-05-01	0.13781231	0.066	4.764053451	4.208458923	1.722165644	3.04	3.606658577	3.569732189			1.65		0
1990-06-01	0.13276652	0.066	4.787210998	4.207480675	2.032165644	3.65	3.615184617	3.631745715			1.74		0
1990-07-01	0.131229	0.067	4.817985116	4.19944145	1.672165644	3.61	3.616668828	3.624287152			1.72		0
1990-08-01	0.12864379	0.068	4.836700572	4.196061453	1.682165644	3.3	3.610141039	3.54656513			1.66		0
1990-09-01	0.12803581	0.069	4.822540217	4.192526385	1.582165644	3.35	3.614523204	3.482720812			1.74		0
1990-10-01	0.11878481	0.07	4.831355658	4.193436307	1.582165644	3.71	3.617797137	3.483414534			2.02		-0.229417884
1990-11-01	0.11226645	0.072	4.826450443	4.189889923	1.782165644	3.33	3.627483166	3.481034053			2.23		0
1990-12-01	0.11293564	0.073	4.817591462	4.191188106	1.922165644	3.75	3.632454075	3.513567572			2.36		0
1991-01-01	0.11429774	0.075	4.82566962	4.190345239	1.852165644	4.01	3.635005394	3.484800536			2.36		0
1991-02-01	0.10942538	0.077	4.826450443	4.18944827	1.722165644	4.47	3.642227407	3.565086738			2.21		0.329031936
1991-03-01	0.10547318	0.079	4.813171914	4.190202337	1.582165644	3.98	3.646419597	3.648767763			1.98		0.382552366
1991-04-01	0.10423709	0.082	4.807142542	4.184345488	1.632165644	3.35	3.627682922	3.670693731			1.90		0.314817529
1991-05-01	0.10161557	0.084	4.800916468	4.189677977	1.492165644	2.5	3.628161782	3.659541659			1.80		-0.080415058
1991-06-01	0.10050644	0.085	4.784284404	4.186902048	1.352165644	2.22	3.623469069	3.655379496			1.68		0
1991-07-01	0.09946443	0.088	4.785342218	4.184899682	1.542165644	2.05	3.624584369	3.66343836			1.62		-0.152994376
1991-08-01	0.09831859	0.089	4.788995264	4.180803195	1.492165644	1.97	3.624854642	3.692792282			1.75		0
1991-09-01	0.09425278	0.09	4.792957907	4.181578287	1.502165644	2.21	3.628685409	3.709446717			1.86		0.124766526
1991-10-01	0.09435934	0.091	4.78729217	4.184134078	1.512165644	1.85	3.6216967	3.693434904			1.96		0
1991-11-01	0.0956656	0.091	4.792150479	4.183469126	1.632165644	1.76	3.625856104	3.664926702			2.04		0
1991-12-01	0.09803229	0.091	4.793603381	4.184238333	1.562165644	1.86	3.624930054	3.619802453			2.17		0
1992-01-01	0.09630971	0.093	4.78883319	4.185723716	1.482165644	1.99	3.625265758	3.658959998	0.158977556	1.787671194	2.10		0
1992-02-01	0.09259907	0.093	4.788752142	4.187724389	1.38352746	2.09	3.626462585	3.671843156	0.175609057	1.789616526	1.89		0
1992-03-01	0.09698206	0.093	4.780777489	4.182936726	1.286181626	1.35	3.623557351	3.655546315	0.181866013	1.792035983	1.71		0
1992-04-01	0.09587942	0.096	4.793200009	4.186666601	1.20493986	1.55	3.63239027	3.677162535	0.150945966	1.796834832	1.73		0
1992-05-01	0.0910712	0.096	4.808096968	4.175252996	1.474413131	1.83	3.633720845	3.744619785	0.191791899	1.798264235	1.74		-0.354187591
1992-06-01	0.09035325	0.098	4.808891628	4.185327437	1.622007155	1.69	3.638003672	3.705408227	0.15079296	1.798264235	1.79		0
1992-07-01	0.09214645	0.098	4.806824198	4.183176166	1.465678744	1.67	3.63839802	3.632428775	0.146060172	1.79635734	1.99		0
1992-08-01	0.09582247	0.098	4.802596536	4.186059905	1.566649192	1.37	3.645358711	3.582733456	0.122296729	1.79635734	2.07		0
1992-09-01	0.08918312	0.099	4.759890941	4.191677855	1.441248642	1.35	3.642300894	3.619802453	0.152508688	1.797788313	2.20		-0.503277196
1992-10-01	0.07072179	0.101	4.67849864	4.195098052	1.408495758	1.63	3.64201762	3.674056181	0.15952778	1.799214586	2.25		-0.559188719
1992-11-01	0.06225354	0.102	4.649857064	4.189332302	1.590844533	1.53	3.640211245	3.724817158	0.152535737	1.799688948	2.08		-0.54784522
1992-12-01	0.06505778	0.103	4.669772898	4.194591688	1.489483965	0.52	3.640820046	3.754791423	0.149139407	1.800162793	2.04		0
1993-01-01	0.06217856	0.104	4.674872162	4.195866991	1.583343744	0.18	3.64755094	3.775347515	0.129604879	1.797311799	2.07		-0.776855232
1993-02-01	0.05430029	0.104	4.624868728	4.203344653	1.386016529	0.41	3.643673471	3.799758579	0.149506136	1.800162793	2.13		0
1993-03-01	0.05484251	0.104	4.640124627	4.197796566	1.478345446	0.29	3.641338209	3.821470616	0.153313583	1.802524362	2.17		0
1993-04-01	0.05781235	0.102	4.669681603	4.202941361	1.517708353	0.12	3.645957215	3.80602052	0.154044125	1.807209388	2.17		0
1993-05-01	0.05796108	0.102	4.671141324	4.204404415	1.269629075	-0.15	3.645902641	3.808457099	0.203941207	1.809069325	2.18		0
1993-06-01	0.05588405	0.102	4.662534789	4.203099708	1.230093239	0.04	3.647158133	3.824644886	0.168286995	1.808605104	2.11		0
1993-07-01	0.05494708	0.101	4.681480614	4.210326483	1.31711093	0.38	3.644830016	3.820056589	0.143006223	1.807209388	2.13		0
1993-08-01	0.05311749	0.101	4.67849864	4.211116605	1.05307909	0.93	3.651398162	3.878589778	0.183729358	1.809069325	1.92		0
1993-09-01	0.05464774	0.101	4.675689267	4.215661573	1.13458311	1.04	3.64964969	3.88291778	0.135940166	1.81092133	1.98		0
1993-10-01	0.05286627	0.101	4.670958975	4.217132571	1.105671425	1.13	3.658097608	3.908952891	0.16354015	1.810459085	1.98		0
1993-11-01	0.0516788	0.101	4.677230868	4.222572042	1.180650957	1.12	3.657738924	3.902653965	0.126744042	1.80953305	1.94		-0.342136003
1993-12-01	0.04891104	0.1	4.685083248	4.22382759	1.107101514	1.47	3.656985891	3.96196338	0.178082098	1.810459085	1.91		0
1994-01-01	0.04952866	0.099	4.694300728	4.229531154	1.100814796	1.32	3.656833389	4.010785701	0.19387796	1.808605104	1.90		0
1994-02-01	0.04940956	0.098	4.678046048	4.22977629	1.351296711	0.93	3.654096313	4.010025355	0.193030955	1.81092133	1.79		-0.14182847
1994-03-01	0.05066922	0.096	4.671961482	4.234774374	1.378305072	0.27	3.655261046	3.956361124	0.172075761	1.812305119	1.65		0
1994-04-01	0.05416767	0.095	4.66611458	4.241502216	1.178700044	-0.15	3.65091509	3.932811518	0.203871217	1.815973944	1.55		0
